id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Sofrito con tomate y cebolla Gallina Blanca 325g,2.25,"(6,92€/KILO)",,https://www.ahorramas.com/sofrito-con-tomate-y-cebolla-gallina-blanca-325g-78741.html,alimentacion
,Caldo de pollo Aneto 750+250ml,3.2,"(3,20€/LITRO)",,https://www.ahorramas.com/caldo-de-pollo-aneto-750250ml-79364.html,alimentacion
,Tortitas de maíz Bicentury 123g sabor jamón,2.39,"(19,43€/KILO)",,https://www.ahorramas.com/tortitas-de-maiz-bicentury-123g-sabor-jamon-43180.html,alimentacion
,Ensalada de pasta con atún Carretilla 240g,2.49,"(10,38€/KILO)",,https://www.ahorramas.com/ensalada-de-pasta-con-atun-carretilla-240g-80795.html,alimentacion
,Patatas fritas churrería Santa Ana 261g,2.79,"(10,69€/KILO)",,https://www.ahorramas.com/patatas-fritas-churreria-santa-ana-261g-77110.html,alimentacion
,Fideos orientales noodles Pad Thai Maggi Saucy 128g,1.99,"(15,55€/KILO)",,https://www.ahorramas.com/fideos-orientales-noodles-pad-thai-maggi-saucy-128g-86969.html,alimentacion
,Crema Gallina Blanca 62g champiñones,0.85,"(13,71€/KILO)",,https://www.ahorramas.com/crema-gallina-blanca-62g-champinones-234.html,alimentacion
,Sazonador Old Paso 40g burritos,1.0,"(25,00€/KILO)|(34,75€/KILO)",,https://www.ahorramas.com/sazonador-old-paso-40g-burritos-44395.html,alimentacion
,Snack de patata Pringles 165g original,1.99,"(12,06€/KILO)|(16,06€/KILO)",,https://www.ahorramas.com/snack-de-patata-pringles-165g-original-47052.html,alimentacion
,Snack de maíz alipenditos 85g,0.79,"(9,29€/KILO)",,https://www.ahorramas.com/snack-de-maiz-alipenditos-85g-84996.html,alimentacion
,Crema con calabaza zanahoria y guisantes Knorr 500ml,2.45,"(4,90€/LITRO)",,https://www.ahorramas.com/crema-con-calabaza-zanahoria-y-guisantes-knorr-500ml-74525.html,alimentacion
,Mejillon Alipende 69g 13/18 escabeche,2.15,"(31,16€/KG.PESO ESC)",,https://www.ahorramas.com/mejillon-alipende-69g-13-18-escabeche-83600.html,alimentacion
,Alubia blanca cocida Alipende 215g,0.7,"(3,26€/KG.PESO ESC)",,https://www.ahorramas.com/alubia-blanca-cocida-alipende-215g-60131.html,alimentacion
,Spaghetti Alipende 500g,0.8,"(1,60€/KILO)",,https://www.ahorramas.com/spaghetti-alipende-500g-49928.html,alimentacion
,Mayonesa Helios 20 bolsitas individuales,1.75,"(7,29€/KILO)",,https://www.ahorramas.com/mayonesa-helios-20-bolsitas-individuales-46201.html,alimentacion
,Almendra cruda Alipende 125g estándar,1.8,"(14,40€/KILO)",,https://www.ahorramas.com/almendra-cruda-alipende-125g-estandar-85139.html,alimentacion
,Café soluble Nescafé Gold Cappuccino natural bote 250g,4.95,"(19,80€/KILO)",,https://www.ahorramas.com/cafe-soluble-nescafe-gold-cappuccino-natural-bote-250g-80579.html,alimentacion
,Café Molido Crema E Gusto Classico Natural Intensidad 7 Lavazza 250G,5.75,"(23,00€/KILO)",,https://www.ahorramas.com/cafe-molido-crema-e-gusto-classico-natural-intensidad-7-lavazza-250g-77049.html,alimentacion
